epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1467,2.08881,10.0732,2.15067,0.92217,0.5,0.68437,0.46761,1.11972,3.66101,1.84116,2e-05,2e-05,2e-05
2,58.9687,1.95714,5.17817,1.99669,1,0.94558,0.995,0.71704,1.05349,4.72242,1.74129,5.406e-05,5.406e-05,5.406e-05
3,95.4254,1.5328,3.50446,1.80143,0.98167,1,0.995,0.69922,0.85181,6.83182,1.55952,8.02e-05,8.02e-05,8.02e-05
4,123.435,1.06781,2.65555,1.45023,0.97118,1,0.995,0.63731,0.86992,6.13995,1.54552,9.842e-05,9.842e-05,9.842e-05
5,150.029,1.10457,2.49808,1.30107,1,0.64936,0.885,0.55899,0.92031,4.55283,1.53817,0.00010872,0.00010872,0.00010872
6,183.529,1.02358,2.06138,1.52164,0.93327,1,0.995,0.81812,0.73818,3.69364,1.33437,0.0001111,0.0001111,0.0001111
7,213.666,0.84368,2.29522,1.32026,0.85062,1,0.995,0.77733,0.74311,3.57423,1.32729,0.00010556,0.00010556,0.00010556
8,242.54,0.90445,1.61516,1.37927,0.85403,1,0.995,0.86561,0.72419,3.01647,1.29889,9.21e-05,9.21e-05,9.21e-05
9,272.481,0.95994,1.65275,1.26572,0.84669,1,0.97214,0.84308,0.74846,2.7659,1.33827,7.072e-05,7.072e-05,7.072e-05
10,308.09,0.78232,1.55438,1.14946,1,0.94432,0.995,0.86561,0.68643,2.62122,1.29856,4.142e-05,4.142e-05,4.142e-05
